date,moisture,temp,rain,rain3,humid,et0,water
2025-08-08,41.8,29.3,9.4,56.9,88,3.04,0
2025-08-09,39.4,31.0,17.1,38.6,86,4.21,0
2025-08-10,39.3,31.2,11.2,39.7,84,4.48,0
2025-08-11,39.1,31.3,3.2,37.7,84,4.28,0
2025-08-12,36.3,30.8,11.0,31.5,85,4.52,0
2025-08-13,39.7,30.1,16.1,25.4,85,4.45,0
2025-08-14,37.1,30.7,23.0,30.3,88,3.55,0
2025-08-15,39.3,30.0,24.0,50.1,87,3.63,0
2025-08-16,41.8,28.6,21.1,63.1,89,3.69,0
2025-08-17,42.1,29.1,12.7,68.1,88,3.37,0
2025-08-18,40.1,29.1,6.9,57.8,87,4.11,0
2025-08-19,39.0,31.2,6.5,40.7,83,4.88,0
2025-08-20,39.2,31.9,6.5,26.1,81,4.85,0
2025-08-21,40.6,30.8,11.7,19.9,84,4.54,0
2025-08-22,41.1,30.2,13.3,24.7,89,3.82,0
2025-08-23,41.3,28.7,11.2,31.5,87,3.01,0
2025-08-24,41.0,29.4,7.5,36.2,85,4.01,0
2025-08-25,40.8,29.7,24.7,32.0,87,3.63,0
2025-08-26,42.0,26.9,32.3,43.4,93,1.98,0
2025-08-27,43.4,25.7,7.6,64.5,95,1.6,0
2025-08-28,42.0,28.0,6.9,64.6,89,2.73,0
2025-08-29,39.3,31.0,5.4,46.8,82,4.63,0
2025-08-30,36.6,31.2,35.9,19.9,83,4.24,0
2025-08-31,41.0,29.4,9.2,48.2,88,2.66,0
2025-09-01,41.8,28.5,3.9,50.5,85,3.75,0
2025-09-02,40.7,29.3,3.0,49.0,87,3.83,0
2025-09-03,39.6,30.1,2.7,16.1,86,3.95,0
2025-09-04,39.0,32.1,1.4,9.6,82,4.88,0
2025-09-05,38.2,31.5,3.0,7.1,83,4.63,0
2025-09-06,35.8,31.4,5.2,7.1,85,4.18,0
2025-09-07,35.0,30.9,1.4,9.6,87,3.85,0
2025-09-08,36.0,30.6,4.2,9.6,84,4.45,0
2025-09-09,34.5,29.2,17.0,10.8,87,3.71,0
2025-09-10,38.3,28.7,27.2,22.6,88,3.07,0
2025-09-11,42.2,29.2,4.2,48.4,87,3.53,0
2025-09-12,39.9,29.6,12.6,48.4,86,4.04,0
2025-09-13,40.1,30.3,1.2,44.0,89,3.34,0
2025-09-14,38.4,30.5,2.5,18.0,86,3.66,0
